year,magnitude,fire,harvest,insects,age,deciduous,conifers,protected,elevation,precipitation,temperature,precipitation_lag,temperature_lag,longitude,latitude
2006, -506,NA,NA,NA, 63.35,73.68,26.17,0,359,1009,5.50, 848,4.09,-6023413,5088216
2013, -634,NA,NA,NA, 74.98,96.72, 2.96,0,437,1168,3.50, 980,5.22,-6072987,5126208
2009,-1172,NA,NA,NA, 73.82,63.79,36.21,0,334, 953,3.91,1051,4.66,-6076694,5132231
2015,-1459,NA,NA,NA, 89.00,85.54,14.34,0,378, 837,4.06,1076,4.12,-6067891,5124354
2006, -598,NA,NA,NA, 53.22,52.95,46.87,0,310,1009,5.11, 857,3.70,-6037312,5115320
2018,-1369,NA,NA,NA,117.90,54.80,45.17,0,310, 960,4.91, 996,5.04,-6013220,5094934
2010,  553,NA,NA,NA, 70.70,75.19,24.82,0,483, 979,5.60,1054,3.92,-6110052,5032155
2019, -854,NA,NA,NA, 84.28,94.72, 4.89,0,518,1277,3.20,1127,4.58,-6141789,5071537
2016, -641,NA,NA,NA, 76.70,91.11, 8.85,0,407, 960,5.19, 976,3.98,-6077852,5052773
2010, -531,NA,NA,NA, 72.24,79.42,20.19,0,430, 958,5.88,1042,4.22,-6114685,5025669
2015, -839,NA,NA,NA, 81.78,68.65,29.15,0,407, 839,4.05,1097,4.09,-6074146,5131999
2021,  866,NA,NA,NA, 81.78,80.01,19.96,0,482, 997,5.79,1130,4.25,-6132986,5077097
2007,  777,NA,NA,NA, 51.52,86.22,13.78,0,373, 863,4.30, 866,4.63,-6023644,5089143
2005, -976,NA, 1,NA, 61.86,81.82,18.07,0,402, 891,4.47, 963,3.55,-6088277,5116478
2014, -817,NA,NA,NA, 46.97,71.26,28.75,0,291, 961,3.75, 938,5.36,-6034069,5088216
2013, -676,NA,NA,NA, 80.96,80.56,19.29,0,431,1181,3.66, 987,5.35,-6091288,5117405
2014, -607,NA,NA,NA, 95.36,63.49,34.88,0,258, 935,3.60, 938,5.14,-5999089,5124123
2010, -456,NA,NA,NA, 72.76,61.54,38.41,0,479,1011,5.50,1088,3.88,-6127890,5042348
2012,  532,NA,NA,NA, 10.65,71.68,26.70,0,446, 904,5.89,1000,4.70,-6100323,5050456
2008, -361,NA,NA,NA, 69.38,77.01,22.98,0,282, 997,3.89, 884,4.70,-6008587,5124586
2008, -898,NA,NA,NA, 94.59,63.27,35.26,0,298, 999,4.39, 874,5.25,-6026424,5082193
2009,  364,NA,NA,NA, 57.76,51.47,47.49,0,329, 987,4.50, 972,5.26,-6059088,5043506
2007,-1135,NA, 1,NA, 51.62,76.80,22.86,0,407, 856,4.44, 901,4.77,-6078315,5045128
2015, -645,NA,NA,NA, 72.54,53.75,45.80,0,432, 868,4.11, 990,4.26,-6072292,5065050
2013, -607,NA,NA,NA, 89.42,68.37,31.24,0,289,1014,4.49, 896,6.00,-6031057,5086594
2010,-1320,NA,NA,NA, 68.24,80.53,19.43,0,508,1011,5.48,1095,3.86,-6128585,5034472
2016, -490,NA,NA,NA, 80.14,81.97,17.92,0,498,1007,5.06,1035,3.81,-6109126,5032619
2012,  983,NA,NA,NA, 78.16,73.08,26.28,0,269, 842,6.33, 913,5.30,-6034301,5085900
2007,-1034,NA,NA,NA, 75.16,88.63, 9.88,0,397, 983,4.94,1007,5.03,-6177001,5034472
2005, -746,NA,NA,NA, 56.88,58.87,41.02,0,389, 822,4.20, 874,3.33,-6024108,5119026
2019, 1837,NA,NA,NA, 65.47,13.14,76.36,0,251, 980,3.73, 984,5.07,-6016463,5106517
2019,-1261,NA,NA,NA, 66.96,30.57,68.37,0,289, 925,3.20, 948,4.57,-6015768,5128988
2011,  765,NA,NA,NA, 71.44,88.31,11.69,0,474, 994,5.17,1088,4.47,-6115149,5028449
2014,  975,NA,NA,NA, 77.30,69.38,30.47,0,469,1261,3.19,1127,5.00,-6148739,5065050
2014,-1368,NA,NA,NA, 73.12,78.57,20.45,0,235, 947,4.29, 915,5.84,-6028046,5080571
2016, -438,NA,NA,NA, 74.54,73.07,26.85,0,433, 979,5.12, 995,3.91,-6086655,5045360
2013, -820,NA, 1,NA, 68.23,46.74,52.21,0,397,1219,3.90,1010,5.63,-6114685,5114625
2005, -741,NA,NA,NA, 74.34,65.71,34.14,0,409, 954,5.00,1046,4.20,-6160322,5061112
2006,-1651,NA,NA,NA, 72.48,94.07, 5.91,0,413,1098,5.60,1025,4.16,-6159163,5069220
2015, -575,NA,NA,NA, 74.28,81.56,18.22,0,431, 903,4.69, 995,4.86,-6111211,5021267
2017, -783,NA,NA,NA, 68.66,47.99,51.70,0,444,1272,4.48, 964,4.18,-6086655,5050456
2015, -901,NA, 1,NA, 42.48,42.34,56.38,0,321, 828,4.29, 968,4.43,-6038239,5102115
2006, -807,NA,NA,NA, 74.96,90.84, 9.02,0,405,1096,5.62,1024,4.22,-6159395,5069220
2013, -596,NA,NA,NA, 73.26,84.07,15.94,0,373,1038,4.05, 912,5.57,-6042872,5080108
2014, 1685,NA,NA,NA, 79.36,82.37,17.37,0,503,1262,3.08,1132,4.83,-6143179,5067135
2013, -886,NA,NA,NA, 77.38,89.69,10.02,0,455,1173,3.61, 989,5.21,-6083180,5100262
2013, -517,NA,NA,NA, 70.46,82.22,17.62,0,479,1078,4.10, 942,5.60,-6077157,5045128
2004,-1103,NA,NA,NA, 70.00,69.55,30.32,0,454, 923,3.59, 960,4.46,-6117234,5040958
2011,-1243,NA,NA,NA, 79.62,58.52,41.12,0,369, 971,5.78,1058,5.09,-6118392,5021962
2010,-1327,NA,NA,NA, 70.62,83.48,16.50,0,503, 969,5.40,1035,3.70,-6102408,5043738
2017, 1277,NA,NA,NA, 70.17,28.48,66.47,0,236,1124,4.99, 890,4.71,-6016231,5106285
2007, -401,NA,NA,NA, 60.92,61.70,38.30,0,365, 864,4.14, 867,4.43,-6034764,5091923
2006, -701,NA,NA,NA, 50.76,50.95,49.05,0,390,1027,4.90, 871,3.50,-6041482,5104895
2010, -935,NA,NA,NA, 28.68,65.22,34.66,0,325, 920,5.77,1006,4.05,-6066269,5132231
2010,-1032,NA,NA,NA, 57.08,77.19,22.81,0,512,1004,5.40,1084,3.78,-6121635,5037252
2010, -887,NA,NA,NA, 73.14,88.85,10.96,0,518, 990,5.50,1070,3.82,-6118160,5030070
2020,-1406,NA, 1,NA, 78.76,59.75,40.22,0,290, 896,5.13, 957,4.02,-6005807,5128988
2012, -612,NA,NA,NA, 60.16,71.43,28.03,0,444, 871,6.10, 996,4.91,-6099628,5034703
2005, -896,NA,NA,NA, 52.82,60.30,39.13,0,377, 843,4.20, 898,3.26,-6039629,5127829
2007,-1902,NA, 1,NA, 32.22,82.80,16.98,0,359, 993,4.53, 962,4.57,-6096385,5127598
2020, -874,NA,NA,NA, 77.76,59.66,39.06,0,277, 987,5.87,1063,4.59,-6035459,5084973
2006, -907,NA,NA,NA, 70.92,66.58,33.42,0,330,1055,5.48, 936,4.01,-6091056,5122038
2013, -492,NA,NA,NA, 78.98,83.26,16.74,0,457,1069,4.11, 934,5.63,-6077620,5045360
2015, -679,NA,NA,NA, 83.84,86.87,13.13,0,476, 874,3.90,1132,3.93,-6094068,5112308
2010,-1144,NA,NA,NA, 73.14,87.24,12.55,0,510, 976,5.32,1042,3.64,-6098933,5043275
2012, -654,NA,NA,NA, 55.96,37.13,62.53,0,273, 857,6.12, 909,5.10,-6021560,5104664
2010, -907,NA,NA,NA, 59.98,71.95,28.06,0,489, 988,5.60,1065,3.93,-6117002,5034008
2017,-1072,NA,NA,NA,109.88,74.34,25.62,0,298,1172,4.83, 911,4.56,-6037775,5087753
2011, 1003,NA,NA,NA, 70.84,28.80,66.00,0,270, 961,5.41, 908,4.85,-5994456,5113698
2021,  811,NA,NA,NA, 88.14,85.82,14.05,0,502,1036,5.71,1171,4.21,-6144106,5060417
2006, 1127,NA,NA,NA, 69.14,62.93,36.78,0,270, 987,5.58, 830,4.16,-6023876,5102810
2021,  786,NA,NA,NA, 86.26,87.81,12.18,1,475, 990,5.70,1120,4.13,-6104493,5062271
2006,-1893,NA,NA,NA, 71.60,77.68,22.25,0,410,1075,5.20, 959,3.74,-6098933,5113698
2013,  709,NA,NA,NA, 73.30,85.81,14.11,0,438,1162,3.97, 984,5.47,-6112137,5059491
2018, 2029,NA,NA,NA, 25.45,67.16,32.54,0,405, 908,3.92, 949,4.20,-6045420,5129683
2015,  764,NA,NA,NA, 45.45,24.37,73.35,0,253, 812,4.50, 950,4.66,-6034069,5106285
2005, -534,NA,NA,NA, 97.12,74.78,24.84,0,375, 793,4.82, 846,4.00,-6017390,5092618
2007,-1942,NA,NA,NA, 75.68,90.41, 9.44,0,448,1032,4.62,1017,4.62,-6158700,5069452
2007,-1260,NA,NA,NA, 70.50,60.97,39.00,0,418, 929,3.72, 923,3.88,-6044957,5126671
2013, -791,NA, 1,NA, 66.43,40.58,59.42,0,364,1088,3.53, 937,5.14,-6036386,5127366
2010,  890,NA,NA,NA, 80.14,51.48,46.72,0,436,1021,5.50,1086,3.91,-6114454,5094471
2017,-1045,NA,NA,NA, 73.78,50.57,49.22,0,310,1174,4.79, 914,4.48,-6040324,5086594
2016, 1062,NA,NA,NA, 75.86,79.88,20.11,0,437,1019,5.50,1097,4.18,-6151055,5033314
2014, 1403,NA,NA,NA, 80.06,57.82,41.42,0,463,1266,3.10,1126,4.92,-6136693,5078950
2013, -540,NA,NA,NA, 63.30,88.85,11.15,0,332,1010,4.58, 894,6.07,-6046810,5063892
2017, -774,NA,NA,NA, 59.64,65.90,34.10,0,359,1139,4.36, 926,4.05,-6042177,5101884
2010, -984,NA,NA,NA, 64.22,68.10,31.71,0,389, 928,5.96, 984,4.22,-6077852,5045823
2019,-1255,NA, 1,NA, 81.04,71.81,28.17,0,289, 923,3.29, 950,4.61,-6006502,5128293
2012,-1059,NA,NA,NA, 76.92,82.81,17.01,0,502, 888,5.90,1006,4.70,-6098238,5038642
2005, -681,NA, 1,NA, 61.68,74.87,25.11,0,292, 782,4.96, 836,4.11,-6035227,5090069
2013, -674,NA,NA,NA, 70.94,79.61,20.27,0,432,1059,4.23, 925,5.73,-6077852,5045360
2008, -624,NA,NA,NA, 66.00,50.06,47.95,0,452,1294,3.90,1034,4.72,-6134608,5089143
2015, -603,NA,NA,NA, 80.31,75.00,24.83,0,425, 900,4.61,1016,4.77,-6119550,5026364
2014, -842,NA,NA,NA, 59.55,16.93,83.06,0,274, 982,3.40, 953,5.00,-6033142,5114857
2016, -558,NA,NA,NA, 81.86,88.02,11.74,0,503, 999,4.89,1051,3.60,-6105187,5054858
2016, -589,NA,NA,NA, 82.20,81.78,18.21,0,481,1005,5.32,1051,4.02,-6132523,5021962
2008, -538,NA,NA,NA, 69.04,81.16,18.83,0,367,1101,4.60, 892,5.46,-6071134,5032850
2014, -422,NA,NA,NA, 81.88,25.11,74.71,1,395,1101,3.09,1028,4.74,-6077389,5097714
2015, 1260,NA,NA,NA, 71.60,87.57,12.21,0,467, 917,4.44, 991,4.63,-6075767,5035398
2010, -632,NA, 1,NA, 43.06,29.46,69.49,0,262, 879,5.91, 919,4.08,-6029204,5111382
2013, -510,NA,NA,NA, 75.30,12.27,78.69,0,215, 992,4.45, 884,5.99,-6005575,5118100
2021,  655,NA,NA,NA,115.30,41.01,58.06,0,188, 772,7.07, 930,5.29,-5996077,5109760
2011, -896,NA,NA,NA, 73.68,78.75,21.22,0,420, 968,5.17,1038,4.51,-6091520,5041421
2017, -863,NA,NA,NA,102.68,69.28,29.77,0,197,1145,5.42, 887,5.20,-5991444,5109065
2020,-1325,NA, 1,NA, 73.62,67.53,32.31,0,288, 898,5.10, 957,3.98,-6007660,5129219
2008, -640,NA,NA,NA, 94.34,64.91,28.05,0,289, 997,4.46, 871,5.31,-6027351,5081266
2013, -651,NA,NA,NA, 92.65,78.45,21.53,0,427,1057,4.27, 923,5.76,-6078315,5044896
2015, -745,NA,NA,NA, 75.96,72.21,27.66,0,414, 841,4.00,1099,4.05,-6073914,5132231
2007, -865,NA,NA,NA, 78.54,75.98,24.01,0,394, 979,4.95,1007,5.05,-6174221,5034008
2019,  877,NA,NA,NA, 66.78,31.58,66.82,0,364, 968,2.94, 978,4.31,-6026656,5122270
2019,-1679,NA,NA,NA, 78.53,30.63,69.11,0,290, 925,3.20, 947,4.54,-6016000,5129219
2010, -812,NA,NA,NA, 76.38,82.07,17.78,0,466, 980,5.63,1057,4.00,-6117465,5032387
2020,  803,NA,NA,NA, 78.56,58.59,39.05,0,409,1175,5.89,1241,4.76,-6167735,5029375
2009, -559,NA, 1,NA,100.28,71.28,28.72,0,363, 931,3.90, 968,4.61,-6021096,5086594
2015, -570,NA,NA,NA, 83.22,78.96,20.98,0,444, 873,4.00,1125,4.09,-6092215,5107444
2013, -616,NA,NA,NA, 79.30,79.10,20.90,0,406,1193,3.82, 994,5.53,-6097080,5117868
2019,  155,NA,NA,NA, 92.65,72.66,26.92,0,486,1284,3.30,1149,4.70,-6113759,5033545
2019,-1125,NA,NA,NA, 65.12,48.66,51.32,0,387,1055,3.20,1030,4.59,-6042177,5090764
2015, -785,NA,NA,NA, 83.94,92.12, 7.71,0,434, 901,4.62,1001,4.80,-6114454,5023121
2018,-1168,NA, 1,NA, 34.77,25.88,63.50,0,271, 907,4.62, 941,4.81,-6034764,5106054
2013, -569,NA,NA,NA, 68.24,75.92,24.08,0,463,1071,4.12, 936,5.62,-6077157,5045591
2010, -807,NA,NA,NA, 78.62,91.96, 7.84,0,463,1063,5.60,1136,4.02,-6146654,5075938
2005, -984,NA,NA,NA, 60.50,62.59,37.37,1,416, 843,4.21, 904,3.35,-6060478,5098177
2012, -964,NA,NA,NA, 77.27,72.80,27.19,0,474, 903,5.96,1015,4.76,-6112369,5037252
2011,  893,NA,NA,NA, 66.32,71.09,28.86,0,214, 936,6.11, 911,5.52,-6024339,5079413
2012, 1003,NA,NA,NA, 75.56,90.98, 8.92,0,484, 997,6.07,1085,4.85,-6162175,5045360
2010,-1312,NA,NA,NA, 55.30,67.58,32.17,0,357, 928,5.61,1016,3.94,-6067659,5131767
2012,  243,NA,NA,NA, 43.56,32.03,67.30,0,309, 903,5.76, 927,4.70,-6038239,5115783
2016, -559,NA,NA,NA, 78.52,82.25,17.74,0,476, 982,4.70,1036,3.44,-6086192,5073622
2014, 1353,NA,NA,NA, 64.24,95.77, 4.00,0,530,1275,3.00,1141,4.77,-6146886,5065050
2006,  784,NA,NA,NA,102.14,78.40,21.54,0,365,1007,5.49, 844,4.07,-6017390,5092849
2018,-1181,NA,NA,NA, 42.90,67.92,32.08,0,218, 866,4.88, 926,5.04,-5981946,5131536
2020, -828,NA,NA,NA, 82.84,61.02,38.93,0,409, 949,4.66,1003,3.57,-6035459,5120185
2016, -637,NA,NA,NA, 82.68,80.00,19.85,0,492,1008,5.10,1031,3.86,-6106346,5031229
2016, -542,NA,NA,NA, 84.76,84.16,15.75,1,472, 991,5.00,1018,3.77,-6098933,5042116
2013, -360,NA,NA,NA,113.52,85.41,14.59,0,242, 983,4.31, 889,5.87,-5985421,5130841
2015, -753,NA,NA,NA, 84.06,79.94,19.95,0,423, 952,4.68,1190,4.78,-6175611,5052078
2019, 1511,NA,NA,NA, 93.84,54.61,45.28,0,259,1000,3.97,1007,5.31,-6006965,5100726
2016, -576,NA,NA,NA, 79.36,80.60,18.23,0,442, 966,5.00, 984,3.81,-6076462,5054163
2007, -507,NA,NA,NA, 71.76,24.93,73.80,0,386, 882,3.93, 889,4.15,-6058161,5090533
2016, -435,NA,NA,NA, 51.88,13.15,80.16,0,217, 922,5.90, 911,4.77,-6004880,5099567
2009, -937,NA, 1,NA, 71.04,28.60,70.75,0,406, 973,3.40,1028,4.12,-6066964,5101420
2009, -448,NA,NA,NA,109.84,63.85,35.98,0,288, 913,4.40, 946,5.14,-6019011,5081266
2020,  429,NA,NA,NA, 83.00,48.70,49.17,1,257, 968,5.89,1047,4.62,-6023876,5092849
2013, -523,NA,NA,NA, 63.54,56.77,43.11,0,443,1076,4.01, 931,5.51,-6088740,5048140
2017, -697,NA,NA,NA, 69.58,65.66,34.29,0,386,1231,4.53, 940,4.25,-6070207,5063661
2012,  883,NA,NA,NA, 80.26,85.99,14.00,0,407, 990,5.93, 997,4.82,-6097774,5117405
2017, -935,NA,NA,NA, 83.16,65.18,34.79,0,362,1175,4.48, 929,4.17,-6045420,5089606
2010,  768,NA,NA,NA, 76.98,87.09,12.86,0,292, 887,6.30, 919,4.42,-6026424,5084510
2017, -846,NA,NA,NA, 80.16,70.08,29.90,0,411,1158,4.12, 939,3.85,-6041019,5101652
2006,  959,NA,NA,NA, 79.40,65.27,34.62,0,336, 999,5.60, 838,4.20,-6019706,5093544
2005, -856,NA,NA,NA, 60.52,64.23,35.59,0,394, 849,4.10, 904,3.20,-6041250,5127598
2018, -691,NA,NA,NA, 75.60,58.74,41.22,0,399, 949,4.20, 973,4.47,-6077389,5109297
2010, -872,NA,NA,NA, 75.80,69.82,29.84,0,466,1011,5.50,1084,3.87,-6125573,5048835
2015, -694,NA,NA,NA, 81.52,78.38,21.62,0,348, 851,4.44, 955,4.60,-6042640,5079645
2013, -404,NA,NA,NA, 63.36,43.18,56.67,0,199, 966,4.95, 873,6.49,-5997004,5105590
2021,  758,NA,NA,NA, 78.20,75.09,24.77,0,267, 849,6.70,1001,4.99,-6033837,5083120
2013, -372,NA,NA,NA, 78.58,69.33,30.68,0,425,1181,3.63, 988,5.32,-6088508,5115088
2009, -828,NA,NA,NA, 67.18,75.45,24.13,0,473, 992,3.20,1074,3.95,-6075304,5115552
2014, 1776,NA,NA,NA, 78.82,81.16,18.55,0,518,1269,3.01,1138,4.83,-6143642,5066904
2020,-1127,NA,NA,NA, 78.80,71.24,28.74,0,374, 946,4.82,1006,3.70,-6029436,5117405
2017, -893,NA,NA,NA, 82.43,78.62,20.93,0,376,1267,5.32,1050,4.94,-6174684,5029607
2015, -708,NA,NA,NA, 85.88,82.57,17.43,0,401, 866,4.30,1135,4.34,-6105187,5117173
2013, -551,NA,NA,NA, 68.88,87.68,12.16,0,297, 998,4.75, 886,6.27,-6039629,5067599
2021,  657,NA,NA,NA, 87.16,88.11,11.56,0,512,1012,5.65,1145,4.10,-6135071,5070147
2010,  440,NA,NA,NA, 70.16,66.11,33.23,0,363, 906,5.92, 938,4.06,-6023644,5086594
2017,-1000,NA,NA,NA, 79.42,61.15,38.61,0,416,1281,5.30,1053,4.90,-6178159,5024511
2016, -785,NA,NA,NA, 64.98,85.02,14.93,0,461, 994,5.36,1043,4.08,-6136229,5022889
2009,  574,NA,NA,NA, 53.10,28.62,70.46,0,326, 899,3.44, 969,4.16,-6013452,5130841
2017,-1073,NA,NA,NA, 68.90,74.46,25.44,0,326,1180,4.70, 918,4.44,-6038470,5087753
2006, 1248,NA,NA,NA, 72.09,76.66,23.31,0,270, 985,5.63, 825,4.22,-6015768,5104432
2007, -490,NA,NA,NA, 62.46,53.11,46.89,0,363, 863,4.19, 867,4.43,-6034764,5092386
2005, -668,NA, 1,NA, 37.93,27.69,61.73,0,325, 791,4.70, 849,3.90,-6046115,5086131
2013, -443,NA,NA,NA, 74.56,88.89,10.80,0,504,1191,3.89,1007,5.37,-6123025,5047445
2021,  850,NA,NA,NA, 72.88,85.87,13.96,0,502,1032,5.70,1160,4.13,-6107736,5049993
2014, 1245,NA,NA,NA, 77.34,55.45,44.35,1,428,1115,3.23,1038,4.98,-6108662,5064355
2013, -926,NA,NA,NA, 67.80,89.67,10.02,0,476,1246,4.15,1038,5.64,-6158005,5043506
2005, 1143,NA, 1,NA, 48.16,68.20,31.76,0,313, 786,4.84, 841,4.03,-6034764,5090533
2009, -498,NA,NA,NA, 68.06,60.57,39.34,0,451,1081,3.83,1045,4.60,-6118855,5031924
2009,  596,NA,NA,NA, 69.28,27.23,71.62,0,301, 893,3.53, 963,4.24,-6012062,5131536
2010,  483,NA,NA,NA, 65.84,34.28,65.69,0,273, 876,6.01, 914,4.14,-6022255,5106517
2014, 1226,NA,NA,NA, 63.16,73.53,26.46,0,329, 968,3.53, 946,5.13,-6032216,5090764
2021,  985,NA,NA,NA, 90.54,86.19,13.81,0,399,1035,6.38,1174,4.85,-6169356,5057406
2018,-1322,NA,NA,NA, 74.96,62.18,37.80,0,296, 918,4.55, 956,4.73,-6025498,5106980
2005,-1240,NA,NA,NA, 42.34,44.63,54.88,0,304, 803,4.46, 853,3.53,-6012062,5131073
2012, -782,NA,NA,NA, 73.14,67.97,32.03,1,455, 897,6.12,1016,4.91,-6119550,5031229
2013, -731,NA,NA,NA, 78.82,93.56, 6.16,1,421,1182,3.70, 991,5.30,-6088045,5108370
2010,-1451,NA,NA,NA, 71.44,88.48,10.86,0,438,1002,5.88,1099,4.30,-6146654,5024742
2018, -332,NA,NA,NA, 71.40,39.72,59.53,0,395, 971,4.50, 998,4.86,-6115380,5114393
2015, -656,NA,NA,NA, 83.10,89.58,10.42,0,458, 913,4.50,1044,4.67,-6133218,5023816
2019,  473,NA,NA,NA, 79.48,44.84,55.08,0,282,1028,3.89,1028,5.23,-6012757,5094702
2009,  367,NA,NA,NA, 69.82,32.37,66.59,0,229, 869,3.92, 936,4.63,-5997467,5132231
2018, -737,NA,NA, 1, 82.04,71.83,27.57,0,454,1133,4.62,1073,4.76,-6107967,5031692
2016, -903,NA,NA,NA, 62.34,28.39,71.45,0,354, 943,5.10, 957,3.90,-6039397,5089606
2006,  845,NA,NA,NA, 62.70,73.82,26.12,0,402,1012,5.61, 896,4.17,-6089203,5040032
2010,-1666,NA, 1,NA, 33.06,47.57,52.31,0,308, 891,5.70, 931,3.87,-6028278,5111613
2013, -744,NA, 1,NA, 80.36,83.78,16.22,0,432,1221,3.75,1011,5.46,-6113295,5116247
